# Valid categories: Solar PCU - Sine Wave | Solar PCU - MPPT | Grid Tie Inverter - 1 Phase | Grid Tie Inverter - 3 Phase | Hybrid Inverter | Home UPS / Inverter | Solar Battery - Lead Acid | Solar Battery - Lithium | Home Battery - Lead Acid | Rack / Wall Battery | Solar Panel / PV Module | Solar Charge Controller | GTI Accessory | Inverter Accessory | Solar BOS Kit | Solar Combo / SPGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,sku,brand,category,type,description,distributorPrice,logisticsCost,unitPrice,targetMarginPct,gstRate,hsnCode,mrp,minMarginPct,minStockLevel,unit,packSize,warrantyPeriod,lifecycleStatus,priceListVersion,productFamily,modelSeries,almm,dcrCompliant,applicableRegions,gridType,customerTierPrice,specs,supplierSku
Eastman Grid Tie Inverter 3KW 1Ph,EAS-GTI-1P-3KW,Eastman,Grid Tie Inverter - 1 Phase,goods,Single phase on-grid solar inverter 3KW,14590,,15027.7,18,5,85044090,,10,2,pcs,1,10 Years,active,Apr-26-v1,Eastman Grid Tie 1 Phase,EGT3K1P,,,,on Grid,,"{""capacity_kw"": 3, ""phase"": ""1P""}",
Eastman Grid Tie Inverter 3.6KW 1Ph,EAS-GTI-1P-3K6,Eastman,Grid Tie Inverter - 1 Phase,goods,Single phase on-grid solar inverter 3.6KW,14780,,15223.4,18,5,85044090,,10,2,pcs,1,10 Years,active,Apr-26-v1,Eastman Grid Tie 1 Phase,EGT-3.6K-1P:1M,,,,on Grid,,"{""capacity_kw"": 3.6, ""phase"": ""1P""}",
Eastman Grid Tie Inverter 4KW 1Ph,EAS-GTI-1P-4KW,Eastman,Grid Tie Inverter - 1 Phase,goods,Single phase on-grid solar inverter 4KW,15650,,16119.5,18,5,85044090,,10,2,pcs,1,10 Years,active,Apr-26-v1,Eastman Grid Tie 1 Phase,EGT-4K-1P:1M,,,,on Grid,,"{""capacity_kw"": 4, ""phase"": ""1P""}",
Eastman Grid Tie Inverter 5KW 1Ph,EAS-GTI-1P-5KW,Eastman,Grid Tie Inverter - 1 Phase,goods,Single phase on-grid solar inverter 5KW,22940,,23628.2,18,5,85044090,,10,2,pcs,1,10 Years,active,Apr-26-v1,Eastman Grid Tie 1 Phase,EGT5K1P1M,,,,on Grid,,"{""capacity_kw"": 5, ""phase"": ""1P""}",
Eastman Grid Tie Inverter 6KW 1Ph,EAS-GTI-1P-6KW,Eastman,Grid Tie Inverter - 1 Phase,goods,Single phase on-grid solar inverter 6KW,23790,,24503.7,18,5,85044090,,10,2,pcs,1,10 Years,active,Apr-26-v1,Eastman Grid Tie 1 Phase,EGT-6K-1P:1M,,,,on Grid,,"{""capacity_kw"": 6, ""phase"": ""1P""}",
Eastman Grid Tie Inverter 5KW 3Ph,EAS-GTI-3P-5KW,Eastman,Grid Tie Inverter - 3 Phase,goods,Three phase on-grid solar inverter 5KW,37020,,38130.6,18,5,85044090,,10,1,pcs,1,10 Years,active,Apr-26-v1,Eastman Grid Tie 3 Phase,ES5KWT-GT-3P:2M,,,,on Grid,,"{""capacity_kw"": 5, ""phase"": ""3P""}",
Eastman Grid Tie Inverter 6KW 3Ph,EAS-GTI-3P-6KW,Eastman,Grid Tie Inverter - 3 Phase,goods,Three phase on-grid solar inverter 6KW,38750,,39912.5,18,5,85044090,,10,1,pcs,1,10 Years,active,Apr-26-v1,Eastman Grid Tie 3 Phase,ES6KWT-GT-3P:2M,,,,on Grid,,"{""capacity_kw"": 6, ""phase"": ""3P""}",
Eastman Grid Tie Inverter 8KW 3Ph,EAS-GTI-3P-8KW,Eastman,Grid Tie Inverter - 3 Phase,goods,Three phase on-grid solar inverter 8KW,42060,,43321.8,18,5,85044090,,10,1,pcs,1,10 Years,active,Apr-26-v1,Eastman Grid Tie 3 Phase,ES8KWT-GT-3P:2M,,,,on Grid,,"{""capacity_kw"": 8, ""phase"": ""3P""}",
Eastman Grid Tie Inverter 10KW 3Ph,EAS-GTI-3P-10KW,Eastman,Grid Tie Inverter - 3 Phase,goods,Three phase on-grid solar inverter 10KW,42950,,44238.5,18,5,85044090,,10,1,pcs,1,10 Years,active,Apr-26-v1,Eastman Grid Tie 3 Phase,ES10KWT-GT-3P:2M,,,,on Grid,,"{""capacity_kw"": 10, ""phase"": ""3P""}",
Eastman Grid Tie Inverter 15KW 3Ph,EAS-GTI-3P-15KW,Eastman,Grid Tie Inverter - 3 Phase,goods,Three phase on-grid solar inverter 15KW,51270,,52808.1,18,5,85044090,,10,1,pcs,1,10 Years,active,Apr-26-v1,Eastman Grid Tie 3 Phase,ES15KWT-GT-3P:2M,,,,on Grid,,"{""capacity_kw"": 15, ""phase"": ""3P""}",
