# Valid categories: Solar PCU - Sine Wave | Solar PCU - MPPT | Grid Tie Inverter - 1 Phase | Grid Tie Inverter - 3 Phase | Hybrid Inverter | Home UPS / Inverter | Solar Battery - Lead Acid | Solar Battery - Lithium | Home Battery - Lead Acid | Rack / Wall Battery | Solar Panel / PV Module | Solar Charge Controller | GTI Accessory | Inverter Accessory | Solar BOS Kit | Solar Combo / SPGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,sku,brand,category,type,description,distributorPrice,logisticsCost,unitPrice,targetMarginPct,gstRate,hsnCode,mrp,minMarginPct,minStockLevel,unit,packSize,warrantyPeriod,lifecycleStatus,priceListVersion,productFamily,modelSeries,almm,dcrCompliant,applicableRegions,gridType,customerTierPrice,specs,supplierSku
Adani 545Wp Bifacial Solar Panel,ADN-PNL-545W-BIF,Adani Solar,Solar Panel / PV Module,product,545Wp Bifacial Mono PERC solar panel,12462.33,,13252.38,15,5,85414300,,2,5,Nos,,25 years,active,PL-2026-Q2,Adani Bifacial,545W Bifacial,TRUE,,Assam,on_grid,,"{""wattage"":""545Wp"",""type"":""Bifacial""}",
Adani 620Wp Bifacial Solar Panel,ADN-PNL-620W-BIF,Adani Solar,Solar Panel / PV Module,product,620Wp Bifacial Mono PERC solar panel,14708.76,,15663.81,15,5,85414300,,2,5,Nos,,25 years,active,PL-2026-Q2,Adani Bifacial,620W Bifacial,TRUE,,Assam,on_grid,,"{""wattage"":""620Wp"",""type"":""Bifacial""}",
Eastman 550Wp Bifacial Solar Panel,EST-PNL-550W-BIF,Eastman,Solar Panel / PV Module,product,550Wp Bifacial Mono PERC solar panel,11947.62,,12666.67,15,5,85414300,,2,5,Nos,,25 years,active,PL-2026-Q2,Eastman Bifacial,550W Bifacial,TRUE,,Assam,on_grid,,"{""wattage"":""550Wp"",""type"":""Bifacial""}",
Waaree 535Wp Bifacial Solar Panel 3KW,WAR-PNL-535W-BIF-3KW,Waaree,Solar Panel / PV Module,product,535Wp Bifacial Mono PERC solar panel,12355.95,,13482.86,15,5,85414300,,2,5,Nos,,25 years,active,PL-2026-Q2,Waaree Bifacial,535W Bifacial,TRUE,,Assam,on_grid,,"{""wattage"":""535Wp"",""type"":""Bifacial""}",
PVBLINK 5kW 3-Phase On-Grid Inverter,PVB-INV-5KW-3PH,PVBLINK,Grid Tie Inverter - 3 Phase,product,5kW three-phase grid-tie solar inverter,45238.1,,"46,190.48",15,5,85044090,,2,3,Nos,,5 years,active,PL-2026-Q2,PVBLINK GTI,5KW-3PH,,,Assam,on_grid,,"{""capacity"":""5kW"",""phase"":""3-phase""}",
PVBLINK 4kW 1-Phase On-Grid Inverter,PVB-INV-4KW-1PH,PVBLINK,Grid Tie Inverter - 1 Phase,product,4kW single-phase grid-tie solar inverter,19000,,20476.19,15,5,85044090,,2,3,Nos,,5 years,active,PL-2026-Q2,PVBLINK GTI,4KW-1PH,,,Assam,on_grid,,"{""capacity"":""4kW"",""phase"":""1-phase""}",
PVBLINK 3kW 1-Phase On-Grid Inverter,ITFI-PV-BL-3KW-1P,PVBLINK,Grid Tie Inverter - 1 Phase,product,3kW single-phase grid-tie solar inverter,"13,638.10",,"14,476.19",8,5,85044090,,2,3,Nos,,5 years,active,PL-2026-Q2,PVBLINK GTI,,,,,on_grid,,,
VSOLE 3KW Inverter,VSOLE-INV-3KW,VSOLE,Grid Tie Inverter - 1 Phase,product,3kW single-phase grid-tie solar inverter,"13,638.10",,"14,476.19",8,5,85044090,,2,3,Nos,,5 years,active,PL-2026-Q2,PVBLINK GTI,,,,,on_grid,,,
Eastman 3kW 1-Phase On-Grid Inverter,EST-INV-3KW-1PH,Eastman,Grid Tie Inverter - 1 Phase,product,3kW single-phase grid-tie solar inverter,"13,638.10",,"14,476.19",8,5,85044090,,8,3,Nos,,5 years,active,PL-2026-Q2,Eastman GTI,3KW-1PH,,,Assam,on_grid,,"{""capacity"":""3kW"",""phase"":""1-phase""}",
Luminous 3kW 1-Phase On-Grid Inverter,LUM-INV-3KW-1PH,Luminous,Grid Tie Inverter - 1 Phase,product,3kW single-phase grid-tie solar inverter,16631.43,,15333.33,15,5,85044090,,8,3,Nos,,5 years,active,PL-2026-Q2,Luminous GTI,3KW-1PH,,,Assam,on_grid,,"{""capacity"":""3kW"",""phase"":""1-phase""}",
