# Valid categories: Solar PCU - Sine Wave | Solar PCU - MPPT | Grid Tie Inverter - 1 Phase | Grid Tie Inverter - 3 Phase | Hybrid Inverter | Home UPS / Inverter | Solar Battery - Lead Acid | Solar Battery - Lithium | Home Battery - Lead Acid | Rack / Wall Battery | Solar Panel / PV Module | Solar Charge Controller | GTI Accessory | Inverter Accessory | Solar BOS Kit | Solar Combo / SPGS
name,sku,brand,category,type,description,distributorPrice,logisticsCost,unitPrice,targetMarginPct,gstRate,hsnCode,mrp,minMarginPct,minStockLevel,unit,packSize,warrantyPeriod,lifecycleStatus,priceListVersion,productFamily,modelSeries,almm,dcrCompliant,applicableRegions,customerTierPrice,specs,supplierSku
Grid Tie Inverter 3KW 1PH:1PH,EGT3K1P,Eastman,Grid Tie Inverter - 1 Phase,product,Grid Tie Inverter 3KW Single Phase,14590,,,,,,,,,,1,10 years,active,PL-2026-Apr,Grid Tie Inverter,EGT,,,PAN India,,,EGT3K1P
Grid Tie Inverter 3.6KW 1P:1M,EGT-3.6K-1P-1M,Eastman,Grid Tie Inverter - 1 Phase,product,Grid Tie Inverter 3.6KW Single Phase,14780,,,,,,,,,,1,10 years,active,PL-2026-Apr,Grid Tie Inverter,EGT,,,PAN India,,,EGT-3.6K-1P:1M
Grid Tie Inverter 4KW 1P:1M,EGT-4K-1P-1M,Eastman,Grid Tie Inverter - 1 Phase,product,Grid Tie Inverter 4KW Single Phase,15650,,,,,,,,,,1,10 years,active,PL-2026-Apr,Grid Tie Inverter,EGT,,,PAN India,,,EGT-4K-1P:1M
Grid Tie Inverter 5KW 1PH:1PH,EGT5K1P1M,Eastman,Grid Tie Inverter - 1 Phase,product,Grid Tie Inverter 5KW Single Phase,22940,,,,,,,,,,1,10 years,active,PL-2026-Apr,Grid Tie Inverter,EGT,,,PAN India,,,EGT5K1P1M
Grid Tie Inverter 6KW 1PH:1PH,EGT-6K-1P-1M,Eastman,Grid Tie Inverter - 1 Phase,product,Grid Tie Inverter 6KW Single Phase,23790,,,,,,,,,,1,10 years,active,PL-2026-Apr,Grid Tie Inverter,EGT,,,PAN India,,,EGT-6K-1P:1M
Grid Tie Inverter 5KW 3PH:3PH,ES5KWT-GT-3P-2M,Eastman,Grid Tie Inverter - 3 Phase,product,Grid Tie Inverter 5KW Three Phase,37020,,,,,,,,,,1,10 years,active,PL-2026-Apr,Grid Tie Inverter,ES KWT GT,,,PAN India,,,ES5KWT-GT-3P:2M
Grid Tie Inverter 6KW 3PH:3PH,ES6KWT-GT-3P-2M,Eastman,Grid Tie Inverter - 3 Phase,product,Grid Tie Inverter 6KW Three Phase,38750,,,,,,,,,,1,10 years,active,PL-2026-Apr,Grid Tie Inverter,ES KWT GT,,,PAN India,,,ES6KWT-GT-3P:2M
Grid Tie Inverter 8KW 3PH:3PH,ES8KWT-GT-3P-2M,Eastman,Grid Tie Inverter - 3 Phase,product,Grid Tie Inverter 8KW Three Phase,42060,,,,,,,,,,1,10 years,active,PL-2026-Apr,Grid Tie Inverter,ES KWT GT,,,PAN India,,,ES8KWT-GT-3P:2M
Grid Tie Inverter 10KW 3PH:3PH,ES10KWT-GT-3P-2M,Eastman,Grid Tie Inverter - 3 Phase,product,Grid Tie Inverter 10KW Three Phase,42950,,,,,,,,,,1,10 years,active,PL-2026-Apr,Grid Tie Inverter,ES KWT GT,,,PAN India,,,ES10KWT-GT-3P:2M
Grid Tie Inverter 15KW 3PH:3PH,ES15KWT-GT-3P-2M,Eastman,Grid Tie Inverter - 3 Phase,product,Grid Tie Inverter 15KW Three Phase,51270,,,,,,,,,,1,10 years,active,PL-2026-Apr,Grid Tie Inverter,ES KWT GT,,,PAN India,,,ES15KWT-GT-3P:2M
Grid Tie Inverter 20KW 3PH:3PH,ES20KWT-GT-3P-2M,Eastman,Grid Tie Inverter - 3 Phase,product,Grid Tie Inverter 20KW Three Phase,55010,,,,,,,,,,1,10 years,active,PL-2026-Apr,Grid Tie Inverter,ES KWT GT,,,PAN India,,,ES20KWT-GT-3P:2M
Grid Tie Inverter 30KW 3PH:3PH,ES30KWT-GT-3P-2M,Eastman,Grid Tie Inverter - 3 Phase,product,Grid Tie Inverter 30KW Three Phase,91830,,,,,,,,,,1,10 years,active,PL-2026-Apr,Grid Tie Inverter,ES KWT GT,,,PAN India,,,ES30KWT-GT-3P:2M
Grid Tie Inverter 50KW 3PH:3PH,EGT-50K-3P4M,Eastman,Grid Tie Inverter - 3 Phase,product,Grid Tie Inverter 50KW Three Phase,130260,,,,,,,,,,1,10 years,active,PL-2026-Apr,Grid Tie Inverter,EGT,,,PAN India,,,EGT-50K-3P4M
Grid Tie Inverter 60KW 3PH:3PH,EGT-60K-3P4M,Eastman,Grid Tie Inverter - 3 Phase,product,Grid Tie Inverter 60KW Three Phase,136930,,,,,,,,,,1,10 years,active,PL-2026-Apr,Grid Tie Inverter,EGT,,,PAN India,,,EGT-60K-3P4M
Grid Tie Inverter 110KW 3PH:3PH,EGT-110K-3P4M,Eastman,Grid Tie Inverter - 3 Phase,product,Grid Tie Inverter 110KW Three Phase,223320,,,,,,,,,,1,10 years,active,PL-2026-Apr,Grid Tie Inverter,EGT,,,PAN India,,,EGT-110K-3P4M
Single Phase CT 100A,EM-GTI-ACC-CT100A,Eastman,GTI Accessory,product,Single Phase CT 100A,620,,,,,,,,,,1,1 year,active,PL-2026-Apr,GTI Accessory,,,,PAN India,,,Single Phase CT 100A
Three Phase Meter 150A with CT,EM-GTI-ACC-3PM150A,Eastman,GTI Accessory,product,Three Phase Meter 150A with CT,9050,,,,,,,,,,1,1 year,active,PL-2026-Apr,GTI Accessory,,,,PAN India,,,Three Phase Meter 150A with CT
GPS Dongle without SIM recharge,EM-GTI-ACC-GPSD,Eastman,GTI Accessory,product,GPS Dongle without SIM recharge,1074,,,,,,,,,,1,1 year,active,PL-2026-Apr,GTI Accessory,,,,PAN India,,,GPS Dongle without SIM recharge
Solar BOS Kit (Eco) GTI 1P,EM-BOS-ECO-GTI1P,Eastman,Solar BOS Kit,product,A complete Balance of System (BOS) kit for Grid Tie Inverter Single Phase,10450,,,,,,,,,,1,,active,PL-2026-Apr,Solar BOS Kit,,,,PAN India,,,Solar BOS Kit(Eco) GTI 1P
Solar Battery 150Ah,EM150SB,Eastman,Solar Battery - Lead Acid,product,Solar Battery 150Ah - Solar Variant,11070,,,,,,,,,,1,60+60 months,active,PL-2026-Apr,Solar Battery,EM SB,,,PAN India,,,EM150SB
Solar Battery 200Ah,EM200SB,Eastman,Solar Battery - Lead Acid,product,Solar Battery 200Ah - Solar Variant,13470,,,,,,,,,,1,60+60 months,active,PL-2026-Apr,Solar Battery,EM SB,,,PAN India,,,EM200SB
Solar Battery 260Ah,EM260SB,Eastman,Solar Battery - Lead Acid,product,Solar Battery 260Ah - Solar Variant,18090,,,,,,,,,,1,60+60 months,active,PL-2026-Apr,Solar Battery,EM SB,,,PAN India,,,EM260SB
Eastman Wall Mounted Battery 25.6V 100AH,ES25.6-100LP,Eastman,Rack / Wall Battery,product,Wall Mounted Lithium Battery 25.6V 100AH,28030,,,,,,,,,,1,5 years,active,PL-2026-Apr,RackType & Wall Mounted Battery,ES LP,,,PAN India,,,ES25.6-100LP
Eastman Wall Mounted Battery 51.2V 100AH,ES51.2-100LP,Eastman,Rack / Wall Battery,product,Wall Mounted Lithium Battery 51.2V 100AH,44970,,,,,,,,,,1,5 years,active,PL-2026-Apr,RackType & Wall Mounted Battery,ES LP,,,PAN India,,,ES51.2-100LP
Eastman Rack Fitted Battery 51.2V 100AH,ES51.2-100BS,Eastman,Rack / Wall Battery,product,Rack Fitted Lithium Battery 51.2V 100AH,44000,,,,,,,,,,1,5 years,active,PL-2026-Apr,RackType & Wall Mounted Battery,ES BS,,,PAN India,,,ES51.2-100BS
EM Hybrid Inverter 3KW 1P:1M Optigrid,EM-HYB-3KW-1P1M,Eastman,Hybrid Inverter,product,EM Hybrid Inverter 3KW 1P:1M Optigrid - Lithium-ION Battery Compatible - 48V,64540,,,,,,,,,,1,10 years,active,PL-2026-Apr,Hybrid Inverter,EM Hybrid Optigrid,,,PAN India,,,EM Hybrid Inverter 3KW-1P:1M-Optigrid
EM Hybrid Inverter 5KW 1P:1M Optigrid,EM-HYB-5KW-1P1M,Eastman,Hybrid Inverter,product,EM Hybrid Inverter 5KW 1P:1M Optigrid - Lithium-ION Battery Compatible - 48V,75740,,,,,,,,,,1,10 years,active,PL-2026-Apr,Hybrid Inverter,EM Hybrid Optigrid,,,PAN India,,,EM Hybrid Inverter 5KW-1P:1M-Optigrid
EM Hybrid Inverter 10KW 3P:2M Optigrid,EM-HYB-10KW-3P2M,Eastman,Hybrid Inverter,product,EM Hybrid Inverter 10KW 3P:2M Optigrid - Lithium-ION Battery Compatible - 48V,157600,,,,,,,,,,1,10 years,active,PL-2026-Apr,Hybrid Inverter,EM Hybrid Optigrid,,,PAN India,,,EM Hybrid Inverter 10KW-3P:2M-Optigrid
